filename        traitname       populationprevalence    sampleprevalence
0001.txt.gz     IDP_0001        NA      NA
0002.txt.gz     IDP_0002        NA      NA
0003.txt.gz     IDP_0003        NA      NA
0004.txt.gz     IDP_0004        NA      NA
0005.txt.gz     IDP_0005        NA      NA
0006.txt.gz     IDP_0006        NA      NA
0007.txt.gz     IDP_0007        NA      NA
0008.txt.gz     IDP_0008        NA      NA
0009.txt.gz     IDP_0009        NA      NA
0010.txt.gz     IDP_0010        NA      NA
0011.txt.gz     IDP_0011        NA      NA
0012.txt.gz     IDP_0012        NA      NA
0013.txt.gz     IDP_0013        NA      NA
0014.txt.gz     IDP_0014        NA      NA
0015.txt.gz     IDP_0015        NA      NA
0016.txt.gz     IDP_0016        NA      NA
0017.txt.gz     IDP_0017        NA      NA
0018.txt.gz     IDP_0018        NA      NA
0019.txt.gz     IDP_0019        NA      NA
0020.txt.gz     IDP_0020        NA      NA
